택시운송업 사업체수,택시운송업 종사자수,한식 일반 음식점업 사업체수,한식 일반 음식점업 종사자수,용달 화물자동차 운송업 사업체수,용달 화물자동차 운송업 종사자수,부동산 중개 및 대리업 사업체수,부동산 중개 및 대리업 종사자수,두발미용업 사업체수,두발미용업 종사자수,커피전문점 사업체수,커피전문점 종사자수,남녀용 겉옷 및 셔츠 도매업 사업체수,남녀용 겉옷 및 셔츠 도매업 종사자수,기타주점업 사업체수,기타주점업 종사자수,일반 교과 학원 사업체수,일반 교과 학원 종사자수,한식 육류요리 전문점 사업체수,한식 육류요리 전문점 종사자수
34,34,38,126,36,38,46,77,29,76,26,85,1,28,7,8,27,76,8,84
144,144,40,104,108,108,41,62,42,60,17,46,4,101,7,9,38,125,12,31
60,60,68,176,66,66,34,45,51,83,43,137,5,16,21,45,13,46,31,105
87,87,36,84,96,96,38,47,34,38,12,22,2,2,22,31,6,9,12,28
83,83,49,92,73,73,49,62,29,31,6,13,4,10,40,63,8,19,14,46
68,361,14,40,62,62,46,63,15,18,7,29,0,0,7,12,12,32,8,29
40,40,48,245,27,27,40,53,32,47,35,102,3,59,12,28,28,76,9,34
74,74,116,281,56,56,55,76,47,68,32,86,6,12,56,90,36,97,34,98
27,27,81,250,29,31,70,86,82,236,52,179,5,27,70,218,54,324,66,299
119,119,89,228,124,124,62,84,64,94,31,92,7,42,32,51,48,175,25,100
198,433,100,325,164,175,79,109,70,86,28,56,2,2,55,106,25,57,36,90
1713,2589,965,2663,1024,1030,589,867,673,997,358,1095,40,94,580,1275,220,740,362,1176
98,227,86,241,53,53,60,89,62,112,38,136,2,2,60,116,13,44,33,114
108,108,17,37,71,71,10,17,21,23,9,16,3,25,8,13,1,1,5,19
310,409,21,52,61,61,12,16,22,25,13,49,0,0,11,20,20,51,6,16
97,226,77,160,79,82,38,53,43,49,19,39,6,10,23,35,15,38,23,48
112,112,47,128,81,81,41,54,57,65,15,26,2,3,30,45,13,42,13,45
81,81,163,445,62,62,84,150,81,135,52,184,7,11,159,488,6,29,85,317
116,238,37,79,116,119,29,48,49,80,9,20,0,0,14,25,30,72,7,17
80,80,89,241,71,71,70,99,85,151,34,98,12,22,55,94,10,57,34,102
149,149,110,397,74,74,61,72,69,114,43,163,2,4,81,216,31,101,56,191
122,251,115,263,80,80,71,115,74,108,26,71,1,5,59,94,22,66,51,159
85,85,27,57,77,77,46,62,29,44,17,51,1,1,14,20,40,171,9,20
135,231,122,424,64,64,23,31,20,24,47,141,2,9,41,69,3,11,20,83
220,392,54,139,135,135,44,61,61,67,36,101,2,2,25,40,16,57,20,45
2993,5783,672,2009,1571,1574,515,794,600,847,288,837,22,43,258,477,351,1162,302,943
202,373,21,66,77,77,18,23,32,42,25,54,1,2,6,7,14,44,12,39
141,427,50,156,82,82,30,49,53,91,21,61,0,0,19,39,38,159,18,69
68,68,35,102,53,53,38,61,35,47,18,58,0,0,13,25,10,21,19,68
113,113,4,14,51,51,16,31,27,42,8,23,1,1,2,9,61,175,5,21
218,925,131,426,96,96,76,126,80,121,41,132,1,1,46,72,38,138,51,162
176,176,42,84,78,78,24,42,55,66,13,28,2,5,7,16,14,46,18,41
241,422,22,104,99,99,20,34,16,27,14,40,0,0,2,5,22,51,10,29
177,177,39,105,503,503,43,58,42,69,22,88,2,2,10,28,11,25,17,57
173,371,47,97,137,140,44,65,62,68,15,27,2,2,17,24,21,79,14,36
128,128,30,65,77,77,27,36,35,40,10,16,2,2,25,42,10,13,20,45
153,539,41,168,60,60,40,76,29,42,16,68,2,2,22,54,39,134,18,51
802,929,52,265,73,73,50,67,46,75,39,118,1,2,20,34,52,220,28,123
163,418,114,250,97,97,47,66,47,62,25,75,2,5,41,82,2,11,49,127
238,717,44,107,88,88,42,60,41,55,21,49,6,19,28,40,19,46,23,75
4114,6074,866,2650,1730,1736,714,1053,782,1353,535,1748,30,123,355,844,735,3281,428,1557
124,479,84,216,85,85,39,50,37,62,42,123,2,11,32,90,18,42,39,93
